"Step","model/_target_: src.models.parallel_energy_gfn_module.PerNodeParallelLinearTrainableCausalGraphGFlowNetModule - val/bayes_shd","model/_target_: src.models.parallel_energy_gfn_module.PerNodeParallelLinearTrainableCausalGraphGFlowNetModule - val/bayes_shd__MIN","model/_target_: src.models.parallel_energy_gfn_module.PerNodeParallelLinearTrainableCausalGraphGFlowNetModule - val/bayes_shd__MAX"
"4","186.86984","186.3816","187.7714"
"10","176.49324","176.021","176.99580000000003"
"16","160.27656","159.105","160.7122"
"22","143.39912","141.2918","144.9274"
"28","126.67040000000001","124.4262","128.758"
"34","112.34248","111.2774","113.7146"
"40","100.7396","99.8982","101.4322"
"46","92.25644","90.4942","93.8322"
"52","86.45432000000001","84.6048","87.973"
"58","82.99552","82.2194","83.8114"
"64","80.93204","79.7322","82.3462"
"70","79.01092","77.7182","80.6346"
"76","77.2388","75.899","78.89"
"82","75.74492000000001","74.6278","77.9332"
"88","74.74912","73.6684","77.1158"
"94","73.43832","71.9024","75.2104"
"100","72.37111999999999","70.744","73.7568"
"106","71.86268","69.7634","73.1994"
"112","70.87348","69.1466","72.9844"
"118","69.72456000000001","68.3226","71.5998"
"124","68.3768","67.2488","69.9916"
"130","67.09656000000001","65.8694","68.3512"
"136","66.12056","64.8276","67.221"
"142","64.5808","63.24839999999999","65.443"
"148","63.24384","61.8918","64.6494"
"154","61.775800000000004","60.9556","63.2372"
"160","60.18188","58.918","61.747600000000006"
"166","58.57972000000001","57.236599999999996","60.257"
"172","56.925839999999994","55.8232","58.2908"
"178","55.46232","54.4088","56.5956"
"184","54.33296","53.1678","55.3862"
"190","53.04240000000001","52.501999999999995","53.8632"
"196","51.987759999999994","51.3028","52.65740000000001"
"202","50.31256","49.687","51.1196"
"208","49.03511999999999","48.1122","49.791599999999995"
"214","47.901199999999996","46.765","48.574600000000004"
"220","46.745239999999995","45.85979999999999","47.8558"
"226","45.575599999999994","44.3974","46.8696"
"232","44.234840000000005","43.208400000000005","45.566"
"238","43.33864","42.4838","44.4264"
"244","42.51748","41.403400000000005","43.6738"
"250","41.34499999999999","40.0004","42.3508"
"256","40.436280000000004","39.0492","41.7284"
"262","39.51968","38.5846","40.5364"
"268","38.55696","37.275","39.4076"
"274","37.55704","36.4162","38.723"
"280","36.86167999999999","35.3574","38.2754"
"286","36.15128","34.4794","37.3512"
"292","35.6064","33.9668","36.3362"
"298","35.01644","33.4898","35.762"
"304","34.4618","32.6996","35.49"
"310","33.89188","32.1632","34.803"
"316","33.3116","31.658","34.1646"
"322","32.685159999999996","31.3776","33.63"
"328","32.156679999999994","31.0434","33.2422"
"334","31.78956","30.8268","32.7196"
"340","31.203319999999998","30.315","32.134"
"346","30.670959999999997","29.421","31.4474"
"352","30.21768","29.1452","31.1822"
"358","29.85188","28.814","31.1194"
"364","29.49636","28.467","31.1364"
"370","29.07928","28.1598","30.5196"
"376","28.772","27.7044","29.9504"
"382","28.330920000000003","27.333","29.2626"
"388","28.085199999999997","27.2132","28.673"
"394","27.66356","26.8456","28.2362"
"400","27.444119999999998","26.564","28.1734"
"406","27.32372","26.4204","28.2738"
"412","27.130119999999998","26.3004","28.2188"
"418","26.79896","26.1188","28.1932"
"424","26.63008","25.9434","27.6626"
"430","26.4972","25.628400000000003","27.518600000000003"
"436","26.14192","25.108","27.233"
"442","25.966199999999997","24.8838","26.7206"
"448","25.76764","24.6966","26.3924"
"454","25.64016","24.565","26.5002"
"460","25.573199999999996","24.626199999999997","26.7318"
"466","25.44312","24.468399999999995","26.906999999999996"
"472","25.39208","24.393999999999995","27.2416"
"478","25.234199999999998","23.9504","27.3792"
"484","25.2596","24.0554","27.417"
"490","25.1202","24.2808","26.6256"
"496","25.00844","23.9126","26.617200000000004"
"502","24.883","23.5218","26.627"
"508","24.870440000000002","23.9304","26.5194"
"514","24.55512","23.5902","26.264"
"520","24.33788","23.316999999999997","26.0262"
"526","24.17328","23.237800000000004","25.7164"
"532","24.104760000000002","22.917600000000004","25.3722"
"538","24.13168","22.9642","25.4828"
"544","24.17452","23.0988","25.4186"
"550","24.0486","23.0852","25.3732"
"556","23.755039999999997","22.8318","24.7352"
"562","23.68324","22.5926","24.697"
"568","23.33228","22.1452","24.1194"
"574","23.2648","22.1714","24.2388"
"580","23.18524","22.1732","24.1158"
"586","23.29748","22.1884","24.3048"
"592","23.298920000000003","22.3162","24.3832"
"598","23.276680000000002","22.082000000000004","24.3866"
"604","23.153640000000003","21.9344","24.2324"
"610","23.31008","21.943","24.4642"
"616","23.36116","22.180799999999998","24.483799999999995"
"622","23.631800000000005","22.5226","24.7832"
"628","23.66912","22.616","24.7638"
"634","23.84016","22.5818","25.130399999999998"
"640","23.64204","22.225","24.999000000000002"
"646","23.489520000000002","22.218399999999995","24.8504"
"652","23.55912","22.2806","24.9414"
"658","23.666959999999996","22.4608","24.7992"
"664","23.457839999999997","22.1912","24.5044"
"670","23.48732","22.0774","24.3948"
"676","23.23084","21.576","24.323400000000003"
"682","23.1622","21.3442","24.378400000000003"
"688","23.28352","21.4942","24.4678"
"694","23.241680000000002","21.308399999999995","24.441800000000004"
"700","23.20248","21.226800000000004","24.4482"
"706","23.404919999999997","21.645799999999998","24.946399999999997"
"712","23.547040000000003","22.1814","24.946000000000005"
"718","23.53136","22.1978","25.428999999999995"
"724","23.4364","22.051200000000005","25.3792"
"730","23.47296","22.2276","25.3302"
"736","23.4062","22.244","25.1806"
"742","23.39092","22.3252","24.847"
"748","23.39116","21.9904","24.8792"
"754","23.49552","21.8752","25.143999999999995"
"760","23.640719999999998","22.1314","25.4236"
"766","23.739960000000004","22.2954","25.2572"
"772","23.678919999999998","22.093399999999995","25.3296"
"778","23.522479999999998","22.1342","24.991"
"784","23.392599999999998","21.7742","24.8268"
"790","23.33164","21.695","24.375"
"796","23.54364","22.0602","24.8494"
"802","23.45648","22.0762","24.731199999999998"
"808","23.492559999999997","21.8846","24.9428"
"814","23.575120000000002","21.8574","25.5638"
"820","23.67248","22.1168","25.2894"
"826","23.92584","22.4338","26.314"
"832","23.84396","22.4352","25.6474"
"838","23.529519999999998","22.2058","25.5634"
"844","23.47404","22.3392","24.8538"
"850","23.60456","22.315","24.8548"
"856","23.43948","22.0792","24.7538"
"862","23.266199999999998","21.8464","24.4902"
"868","23.30948","22.281600000000005","24.470399999999998"
"874","23.16876","22.3534","24.64"
"880","23.287200000000002","22.3288","24.6158"
"886","23.45848","22.38","24.7304"
"892","23.607720000000004","22.9252","24.697"
"898","23.51752","22.6534","24.7196"
"904","23.62468","22.2748","25.2264"
"910","23.714439999999996","22.3202","25.391"
"916","23.74796","22.1274","25.2538"
"922","23.789160000000003","22.141","25.1486"
"928","23.697439999999997","22.375999999999998","24.9352"
"934","23.47144","23.0128","24.097"
"940","23.750400000000003","23.327600000000004","24.4754"
"946","23.70592","23.2012","24.2316"
"952","23.849760000000003","22.8392","24.9034"
"958","23.84624","22.875","25.198"
"964","24.13732","23.1828","25.2966"
"970","23.8916","22.9622","24.713"
"976","23.684160000000002","22.575599999999998","24.811"
"982","23.69668","22.503599999999995","25.1046"
"988","23.53336","21.8858","24.656999999999996"
"994","23.316319999999997","22.023199999999996","24.4948"
"1000","23.3676","21.930799999999998","24.9298"
"1006","23.5702","21.9044","25.5772"
"1012","23.79636","22.4628","24.9788"
"1018","23.58876","22.14","24.7594"
"1024","23.522399999999998","22.234","24.729399999999995"
"1030","23.55596","22.1702","25.0094"
"1036","23.55028","22.21","25.229200000000002"
"1042","23.483759999999997","21.703199999999995","24.87"
"1048","23.28232","21.761999999999997","24.737"
"1054","23.421720000000004","21.8292","24.7742"
"1060","23.43312","21.7526","25.003400000000003"
"1066","23.250880000000002","21.5402","24.7564"
"1072","23.292240000000003","21.8482","24.8316"
"1078","23.672680000000003","22.4034","25.1822"
"1084","23.609280000000002","22.5854","25.531400000000005"
"1090","23.18452","21.7476","24.8582"
"1096","23.093560000000004","22.1136","24.3532"
"1102","23.285720000000005","21.7558","24.665399999999998"
